"manager","area","transect","treatment","year","exuviae","egglaying_females","emers_frac","pH","redox_V","O2_frac","EC_mS_cm","temp_C","water_depth_m","sludge_thickness_m"
"GL","GL1","a","regular","2015",99,6,0.65,6.7,0.0354,0.264,0.369,14.8,0.485,0.39
"GL","GL1","b","regular","2015",69,4,0.65,6.96,0.065,0.566,0.376,15.5,0.46,0.546
"GL","GL1","a","checker","2016",72,10,0.63,7.4,0.238,0.69,0.224,7.3,0.514,0.379
"GL","GL1","b","regular","2016",59,10,0.63,7.6,0.225,0.72,0.245,7.2,0.532,0.498
"GL","GL1","a","checker","2017",16,11,0.625714285714286,7.3,0.176,0.82,0.706,18.2,0.326,0.398
"GL","GL1","b","regular","2017",15,13,0.625714285714286,7.1,0.171,0.63,0.759,18.1,0.282,0.506
"GL","GL1","a","checker","2018",7,1,0.99,6.74,0.0117,0.459,0.583,17.23,0.232,0.699
"GL","GL1","b","regular","2018",6,2,0.99,7.47,0.0795,0.792,0.593,19.2,0.29,0.746
"GL","GL2","a","regular","2015",0,2,1,6.6,0.105,0.219,0.223,13.4,0.636,0.118
"GL","GL2","b","regular","2015",0,5,0.9,6.6,0.117,0.266,0.238,13.9,0.668,0.269
"GL","GL2","a","checker","2017",0,1,1,6.5,0.0518,0.26,0.743,18.1,0.693,0.165
"GL","GL2","a","checker","2016",0,7,1,7.5,0.285,0.6,0.226,6.7,0.709,0.115
"GL","GL2","b","regular","2016",1,6,0.9,7.4,0.276,0.71,0.219,7,0.683,0.197
"GL","GL2","b","regular","2017",0,4,1,6.9,0.0305,0.46,0.772,17.8,0.632,0.344
"GL","GL2","a","checker","2018",0,2,1,6.74,0.1245,0.648,0.569,17.2,0.668,0.206
"GL","GL2","b","regular","2018",0,0,1,6.89,0.0957,0.548,0.577,17.7,0.637,0.281
"GL","GL3","a","regular","2015",9,6,0.5,6.8,0.165,0.73,0.296,13.6,0.655,0.082
"GL","GL3","b","regular","2015",15,12,0.45,6.8,0.163,0.46,0.293,14.7,0.61,0.173
"GL","GL3","a","checker","2016",0,6,0.63,7.6,0.097,0.77,0.353,7.3,0.51,0.329
"GL","GL3","b","regular","2016",3,6,0.63,7.6,0.093,0.74,0.32,7.2,0.468,0.533
"GL","GL3","a","checker","2017",3,0,0.614285714285714,7.39,0.0225,0.725,0.643,18.56,0.533,0.112
"GL","GL3","b","regular","2017",0,0,0.772857142857143,7.7,0.1405,0.87,0.607,19.2,0.51,0.143
"GL","GL3","a","checker","2018",3,0,0.705,6.99,-0.0042,0.374,0.548,18.1,0.371,0.213
